plume_id,ok,safe,tile,sensing,out_abs,out_rel,shift_row_px,shift_col_px,missing_bands,idx,reason,ref,row,col,h,w
GAO20191023t151100p0000-D,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-D/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-D/s2_-7.tif,0.0,0.0,"B09,B10",53,,,,,,
GAO20191023t145412p0000-I,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-I/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-I/s2_-7.tif,0.0,0.0,"B09,B10",49,,,,,,
GAO20191023t151100p0000-A,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",50,,,,,,
GAO20191023t145412p0000-H,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-H/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t145412p0000-H/s2_-7.tif,0.0,0.0,"B09,B10",48,,,,,,
GAO20191023t152337p0000-C,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",58,,,,,,
GAO20191023t151100p0000-F,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-F/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t151100p0000-F/s2_-7.tif,0.0,0.0,"B09,B10",55,,,,,,
GAO20191023t152337p0000-A,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",56,,,,,,
GAO20191023t155252p0000-A,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t155252p0000-A/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t155252p0000-A/s2_-7.tif,0.0,0.0,"B09,B10",71,,,,,,
GAO20191023t152337p0000-F,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-F/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-F/s2_-7.tif,0.0,0.0,"B09,B10",61,,,,,,
GAO20191023t152337p0000-I,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-I/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-I/s2_-7.tif,0.0,0.0,"B09,B10",64,,,,,,
GAO20191023t153942p0000-C,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t153942p0000-C/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t153942p0000-C/s2_-7.tif,0.0,0.0,"B09,B10",69,,,,,,
GAO20191023t152337p0000-G,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-G/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-G/s2_-7.tif,0.0,0.0,"B09,B10",62,,,,,,
GAO20191023t153942p0000-D,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t153942p0000-D/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t153942p0000-D/s2_-7.tif,0.0,0.0,"B09,B10",70,,,,,,
GAO20191023t152337p0000-H,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-H/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-H/s2_-7.tif,0.0,0.0,"B09,B10",63,,,,,,
GAO20191023t153942p0000-B,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t153942p0000-B/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t153942p0000-B/s2_-7.tif,0.0,0.0,"B09,B10",68,,,,,,
GAO20191023t152337p0000-K,1,S2B_MSIL2A_20191018T173329_N0500_R055_T13SFR_20230614T171342.SAFE,T13SFR,20191018T173329,/data2/yuyao/methane_emission/carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-K/s2_-7.tif,carbon_mapper_data/CM_S2_L2A/GAO20191023t152337p0000-K/s2_-7.tif,0.0,0.0,"B09,B10",66,,,,,,
