plume_id,datetime,lat,lon,matched_safe,matched_sensing_time,matched_jp2
GAO20191019t173250p0000-C,2019-10-19T17:32:50+00:00,31.267845,-101.40286,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t173250p0000-D,2019-10-19T17:32:50+00:00,31.270607,-101.58417,S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE,2019-10-18T17:33:29+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2B_MSIL2A_20191018T173329_N0500_R055_T14RKV_20230614T171342.SAFE/T14RKV_20191018T173329_B11_20m.jp2
GAO20191019t174717p0000-A,2019-10-19T17:47:17+00:00,31.228401,-102.16929,S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE/T13RGQ_20191020T172341_B11_20m.jp2
GAO20191019t174717p0000-B,2019-10-19T17:47:17+00:00,31.2271909,-102.10527,S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE/T13RGQ_20191020T172341_B11_20m.jp2
GAO20191019t174717p0000-C,2019-10-19T17:47:17+00:00,31.2328485,-101.78355,S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T13RGQ_20230615T204009.SAFE/T13RGQ_20191020T172341_B11_20m.jp2
GAO20191019t174717p0000-D,2019-10-19T17:47:17+00:00,31.228107,-101.69779,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191019t174717p0000-E,2019-10-19T17:47:17+00:00,31.234812,-101.50211,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191019t174717p0000-F,2019-10-19T17:47:17+00:00,31.2287885,-101.44483,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191019t180726p0000-A,2019-10-19T18:07:26+00:00,31.210105,-101.36722,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
GAO20191019t180726p0000-B,2019-10-19T18:07:26+00:00,31.2097228,-101.3723,S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE,2019-10-20T17:23:41+00:00,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/data_download/raw_data_dir_s2/S2A_MSIL2A_20191020T172341_N0500_R012_T14RKV_20230615T204009.SAFE/T14RKV_20191020T172341_B11_20m.jp2
