plume_id,lat,lon,matched_safe,tile,sensing_time,matched_jp2,out_tif,missing_bands
tan20250823t065648c13s4001-C,49.81710712283362,73.01615742713676,S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE,T43UCR,20250823T060629,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE/T43UCR_20250823T060629_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250823t065648c13s4001-C/s2_recut_12x512_georef.tif,"B09,B10"
tan20250823t065648c13s4001-D,49.77684666583059,72.91905265186051,S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE,T43UCR,20250823T060629,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE/T43UCR_20250823T060629_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250823t065648c13s4001-D/s2_recut_12x512_georef.tif,"B09,B10"
tan20250823t065648c13s4001-E,49.84121210245442,73.03029956193575,S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE,T43UCR,20250823T060629,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250823T060629_N0511_R134_T43UCR_20250823T072835.SAFE/T43UCR_20250823T060629_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250823t065648c13s4001-E/s2_recut_12x512_georef.tif,"B09,B10"
tan20250823t100632c25s4001-A,38.07155684164357,23.650969167931976,S2A_MSIL2A_20250824T091321_N0511_R050_T34SGH_20250824T113416.SAFE,T34SGH,20250824T091321,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2A_MSIL2A_20250824T091321_N0511_R050_T34SGH_20250824T113416.SAFE/T34SGH_20250824T091321_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250823t100632c25s4001-A/s2_recut_12x512_georef.tif,"B09,B10"
tan20250823t100632c25s4001-B,38.07311070074195,23.6453108552048,S2A_MSIL2A_20250824T091321_N0511_R050_T34SGH_20250824T113416.SAFE,T34SGH,20250824T091321,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2A_MSIL2A_20250824T091321_N0511_R050_T34SGH_20250824T113416.SAFE/T34SGH_20250824T091321_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250823t100632c25s4001-B/s2_recut_12x512_georef.tif,"B09,B10"
tan20250825t180948c73s4001-A,28.18229915709682,-99.22117616532606,S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE,T14RMS,20250826T170911,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE/T14RMS_20250826T170911_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250825t180948c73s4001-A/s2_recut_12x512_georef.tif,"B09,B10"
tan20250825t180948c73s4001-B,28.19447350188324,-99.227331570864,S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE,T14RMS,20250826T170911,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE/T14RMS_20250826T170911_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250825t180948c73s4001-B/s2_recut_12x512_georef.tif,"B09,B10"
tan20250825t180948c73s4001-C,28.207832383235115,-99.18544727246014,S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE,T14RMS,20250826T170911,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE/T14RMS_20250826T170911_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250825t180948c73s4001-C/s2_recut_12x512_georef.tif,"B09,B10"
tan20250825t180948c73s4001-D,28.186951678656484,-99.16396510820452,S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE,T14RMS,20250826T170911,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE/T14RMS_20250826T170911_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250825t180948c73s4001-D/s2_recut_12x512_georef.tif,"B09,B10"
tan20250825t180948c73s4001-F,28.16074686784028,-99.2169451635786,S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE,T14RMS,20250826T170911,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE/T14RMS_20250826T170911_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250825t180948c73s4001-F/s2_recut_12x512_georef.tif,"B09,B10"
tan20250825t180948c73s4001-G,28.29796408924632,-99.2863807212824,S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE,T14RMS,20250826T170911,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2C_MSIL2A_20250826T170911_N0511_R112_T14RMS_20250826T221113.SAFE/T14RMS_20250826T170911_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250825t180948c73s4001-G/s2_recut_12x512_georef.tif,"B09,B10"
tan20250826t003921c14s4001-A,-33.16115715284275,151.41945149451232,S2B_MSIL2A_20250826T000229_N0511_R030_T56HLJ_20250826T011319.SAFE,T56HLJ,20250826T000229,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250826T000229_N0511_R030_T56HLJ_20250826T011319.SAFE/T56HLJ_20250826T000229_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250826t003921c14s4001-A/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t135122c23s4001-B,-3.7957343307114826,-38.68422476074406,S2A_MSIL2A_20250827T130301_N0511_R095_T24MWA_20250827T192212.SAFE,T24MWA,20250827T130301,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2A_MSIL2A_20250827T130301_N0511_R095_T24MWA_20250827T192212.SAFE/T24MWA_20250827T130301_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t135122c23s4001-B/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-A,31.798707633601666,-103.92987897183956,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-A/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-AA,32.01917145068721,-103.948375296224,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-AA/s2_recut_12x512_georef.tif,"B09,B10"
tan20250827t182223c99s4001-AC,31.870777098059648,-104.03549255867618,S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE,T13SER,20250827T172859,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/raw_data_dir_s2/S2B_MSIL2A_20250827T172859_N0511_R055_T13SER_20250827T210625.SAFE/T13SER_20250827T172859_B11_20m.jp2,/mnt/engg-leung/Research_No9_Methane_Emissions/Yuyao/Dataset/plume_raw_s2_recut_512_georef/tan20250827t182223c99s4001-AC/s2_recut_12x512_georef.tif,"B09,B10"
