nm/Band,Pan,Coastal (MS7),Blue (MS4),Green (MS3),Yellow (MS6),Red (MS2),Red Edge (MS5),NIR1 (MS1),NIR2 (MS8),SWIR1,SWIR2,SWIR3,SWIR4,SWIR5,SWIR6,SWIR7,SWIR8,,Inputs:,
487,0.565855506,4.03E-07,0.917740893,5.41E-07,6.50E-11,1.82E-06,1.11E-08,1.75E-06,3.67E-07,0,0,0,0,0,0,0,0,,,
488,0.564489933,4.08E-07,0.930162468,5.62E-07,3.15E-08,2.11E-06,6.16E-09,1.06E-06,1.81E-07,0,0,0,0,0,0,0,0,,,
489,0.564196493,3.87E-07,0.942334243,6.17E-07,3.60E-08,1.58E-06,4.99E-09,8.50E-07,2.00E-07,0,0,0,0,0,0,0,0,,,
490,0.567437566,2.61E-07,0.953668678,8.40E-07,4.70E-10,5.98E-07,1.07E-08,8.11E-07,7.90E-08,0,0,0,0,0,0,0,0,,,
491,0.570811055,1.79E-07,0.965240253,1.18E-06,6.63E-11,5.07E-07,2.33E-09,7.97E-07,1.94E-07,0,0,0,0,0,0,0,0,,,
492,0.574194882,2.63E-07,0.965991987,1.81E-06,1.17E-08,5.61E-07,7.22E-11,7.89E-07,2.52E-07,0,0,0,0,0,0,0,0,,,
493,0.577339382,3.05E-07,0.966221258,3.06E-06,5.37E-08,7.50E-07,5.74E-11,8.23E-07,4.42E-07,0,0,0,0,0,0,0,0,,,
494,0.579116971,1.57E-07,0.966139342,5.02E-06,1.87E-10,4.11E-07,7.29E-09,8.93E-07,4.91E-07,0,0,0,0,0,0,0,0,,,
495,0.577926596,8.25E-08,0.966779499,8.58E-06,6.59E-11,2.70E-07,5.74E-11,1.52E-06,7.20E-07,0,0,0,0,0,0,0,0,,,
496,0.576723115,1.30E-07,0.974131001,1.38E-05,6.60E-11,4.75E-07,2.54E-08,3.66E-06,9.11E-07,0,0,0,0,0,0,0,0,,,
497,0.57488542,2.03E-07,0.980446893,2.12E-05,2.25E-10,8.06E-07,2.23E-08,4.44E-06,1.71E-07,0,0,0,0,0,0,0,0,,,
498,0.573038026,4.10E-07,0.9857965,3.28E-05,3.55E-08,3.16E-07,6.71E-09,2.37E-06,5.69E-08,0,0,0,0,0,0,0,0,,,
499,0.574418356,1.76E-07,0.992526042,5.22E-05,1.73E-10,4.55E-07,1.01E-08,8.48E-07,5.91E-08,0,0,0,0,0,0,0,0,,,
500,0.581434613,1.04E-07,0.996659837,9.08E-05,1.19E-08,9.65E-07,1.15E-10,7.72E-07,1.54E-07,0,0,0,0,0,0,0,0,,,
501,0.588040705,1.36E-07,1,0.000176031,6.96E-09,5.33E-07,5.13E-09,7.19E-07,4.27E-07,0,0,0,0,0,0,0,0,,,
502,0.594606695,1.07E-07,0.999595185,0.000380367,5.58E-08,6.30E-07,5.08E-09,6.78E-07,4.63E-07,0,0,0,0,0,0,0,0,,,
503,0.60177876,3.83E-07,0.999738327,0.000934115,2.09E-08,9.66E-07,4.19E-08,7.28E-07,1.13E-06,0,0,0,0,0,0,0,0,,,
504,0.606951654,8.72E-08,0.977139094,0.002443424,3.64E-08,1.26E-06,5.94E-08,7.24E-07,4.92E-07,0,0,0,0,0,0,0,0,,,
505,0.607429856,1.33E-07,0.953073418,0.00650749,1.74E-07,5.49E-07,1.76E-08,7.22E-07,9.65E-08,0,0,0,0,0,0,0,0,,,
506,0.607970198,2.64E-07,0.902709837,0.025301798,7.27E-08,4.03E-07,9.42E-09,7.36E-07,5.57E-08,0,0,0,0,0,0,0,0,,,
507,0.608376505,3.49E-07,0.850846982,0.046913231,1.96E-07,4.88E-07,1.29E-08,8.04E-07,6.76E-08,0,0,0,0,0,0,0,0,,,
508,0.608779498,1.68E-07,0.759756764,0.123196294,3.01E-07,1.24E-06,7.09E-09,7.86E-07,6.42E-09,0,0,0,0,0,0,0,0,,,
509,0.610325194,1.42E-07,0.6670737,0.203629768,2.97E-07,8.24E-07,3.55E-10,7.75E-07,2.15E-07,0,0,0,0,0,0,0,0,,,
510,0.613992774,1.82E-07,0.53433266,0.402340416,4.83E-07,4.20E-07,1.04E-08,7.45E-07,1.44E-07,0,0,0,0,0,0,0,0,,,
