,emit_granule_id
803,EMIT_L2A_RFL_001_20230325T120958_2308408_036
804,EMIT_L2A_RFL_001_20230325T121010_2308408_037
815,EMIT_L2A_RFL_001_20230326T142844_2308510_039
816,EMIT_L2A_RFL_001_20230326T142844_2308510_039
817,EMIT_L2A_RFL_001_20230326T142844_2308510_039
818,EMIT_L2A_RFL_001_20230326T142844_2308510_039
819,EMIT_L2A_RFL_001_20230326T142844_2308510_039
821,EMIT_L2A_RFL_001_20230326T204045_2308514_004
822,EMIT_L2A_RFL_001_20230326T204045_2308514_004
825,EMIT_L2A_RFL_001_20230326T221358_2308515_011
826,EMIT_L2A_RFL_001_20230327T120834_2308608_039
827,EMIT_L2A_RFL_001_20230327T120858_2308608_041
828,EMIT_L2A_RFL_001_20230327T120957_2308608_046
829,EMIT_L2A_RFL_001_20230327T134208_2308609_041
842,EMIT_L2A_RFL_001_20230330T111952_2308908_038
843,EMIT_L2A_RFL_001_20230330T125250_2308909_037
844,EMIT_L2A_RFL_001_20230330T125302_2308909_038
845,EMIT_L2A_RFL_001_20230330T125250_2308909_037
846,EMIT_L2A_RFL_001_20230330T125302_2308909_038
847,EMIT_L2A_RFL_001_20230330T125250_2308909_037
851,EMIT_L2A_RFL_001_20230331T120633_2309008_041
853,EMIT_L2A_RFL_001_20230401T190441_2309113_014
858,EMIT_L2A_RFL_001_20230402T195016_2309213_002
861,EMIT_L2A_RFL_001_20230403T081219_2309306_030
864,EMIT_L2A_RFL_001_20230403T094539_2309307_039
865,EMIT_L2A_RFL_001_20230403T111837_2309308_038
866,EMIT_L2A_RFL_001_20230403T111837_2309308_038
867,EMIT_L2A_RFL_001_20230403T111837_2309308_038
868,EMIT_L2A_RFL_001_20230403T111849_2309308_039
870,EMIT_L2A_RFL_001_20230404T085844_2309406_039
871,EMIT_L2A_RFL_001_20230404T085908_2309406_041
883,EMIT_L2A_RFL_001_20230404T181642_2309412_016
889,EMIT_L2A_RFL_001_20230405T081246_2309506_042
899,EMIT_L2A_RFL_001_20230407T081044_2309706_039
908,EMIT_L2A_RFL_001_20230416T122203_2310608_013
941,EMIT_L2A_RFL_001_20230419T113323_2310908_008
948,EMIT_L2A_RFL_001_20230420T104534_2311007_015
949,EMIT_L2A_RFL_001_20230420T182847_2311012_010
950,EMIT_L2A_RFL_001_20230420T200240_2311013_025
958,EMIT_L2A_RFL_001_20230421T191423_2311113_022
959,EMIT_L2A_RFL_001_20230421T191423_2311113_022
965,EMIT_L2A_RFL_001_20230422T091058_2311206_018
966,EMIT_L2A_RFL_001_20230422T091058_2311206_018
967,EMIT_L2A_RFL_001_20230422T091110_2311206_019
968,EMIT_L2A_RFL_001_20230422T091110_2311206_019
976,EMIT_L2A_RFL_001_20230423T112832_2311308_014
977,EMIT_L2A_RFL_001_20230423T112908_2311308_017
978,EMIT_L2A_RFL_001_20230423T191220_2311313_016
979,EMIT_L2A_RFL_001_20230423T191232_2311313_017
983,EMIT_L2A_RFL_001_20230424T090806_2311406_011
984,EMIT_L2A_RFL_001_20230424T090818_2311406_012
988,EMIT_L2A_RFL_001_20230424T182522_2311412_026
989,EMIT_L2A_RFL_001_20230424T182545_2311412_028
990,EMIT_L2A_RFL_001_20230424T182545_2311412_028
991,EMIT_L2A_RFL_001_20230424T182545_2311412_028
