plume_id,error
GAO20230821t163453p0000-W,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-W/plume.tif
GAO20230821t163453p0000-X,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-X/plume.tif
GAO20230821t163453p0000-Y,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t163453p0000-Y/plume.tif
GAO20230821t165338p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t165338p0000-E/plume.tif
GAO20230821t165338p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t165338p0000-G/plume.tif
GAO20230821t165338p0000-W,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t165338p0000-W/plume.tif
GAO20230821t165338p0000-X,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t165338p0000-X/plume.tif
GAO20230821t171043p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t171043p0000-I/plume.tif
GAO20230821t171043p0000-U,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t171043p0000-U/plume.tif
GAO20230821t171043p0000-V,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t171043p0000-V/plume.tif
GAO20230821t171043p0000-W,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t171043p0000-W/plume.tif
GAO20230821t172913p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t172913p0000-A/plume.tif
GAO20230821t172913p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t172913p0000-F/plume.tif
GAO20230821t172913p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t172913p0000-H/plume.tif
GAO20230821t172913p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t172913p0000-I/plume.tif
GAO20230821t172913p0000-J,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t172913p0000-J/plume.tif
GAO20230821t172913p0000-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t172913p0000-K/plume.tif
GAO20230821t174608p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t174608p0000-A/plume.tif
GAO20230821t174608p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t174608p0000-B/plume.tif
GAO20230821t174608p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t174608p0000-C/plume.tif
GAO20230821t174608p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t174608p0000-D/plume.tif
GAO20230821t174608p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t174608p0000-F/plume.tif
GAO20230821t174608p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t174608p0000-G/plume.tif
GAO20230821t174608p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t174608p0000-I/plume.tif
GAO20230821t174608p0000-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t174608p0000-K/plume.tif
GAO20230821t180428p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t180428p0000-B/plume.tif
GAO20230821t180428p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t180428p0000-C/plume.tif
GAO20230821t180428p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t180428p0000-F/plume.tif
GAO20230821t180428p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t180428p0000-G/plume.tif
GAO20230821t180428p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t180428p0000-H/plume.tif
GAO20230821t180428p0000-K,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t180428p0000-K/plume.tif
GAO20230821t182108p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t182108p0000-A/plume.tif
GAO20230821t182108p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t182108p0000-E/plume.tif
GAO20230821t182108p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t182108p0000-F/plume.tif
GAO20230821t182108p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230821t182108p0000-G/plume.tif
GAO20230824t154540p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t154540p0000-A/plume.tif
GAO20230824t154540p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t154540p0000-B/plume.tif
GAO20230824t154540p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t154540p0000-D/plume.tif
GAO20230824t154540p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t154540p0000-E/plume.tif
GAO20230824t160435p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t160435p0000-A/plume.tif
GAO20230824t160435p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t160435p0000-B/plume.tif
GAO20230824t160435p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t160435p0000-C/plume.tif
GAO20230824t160435p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t160435p0000-D/plume.tif
GAO20230824t160435p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t160435p0000-E/plume.tif
GAO20230824t160435p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t160435p0000-F/plume.tif
GAO20230824t160435p0000-G,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t160435p0000-G/plume.tif
GAO20230824t160435p0000-H,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t160435p0000-H/plume.tif
GAO20230824t160435p0000-I,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t160435p0000-I/plume.tif
GAO20230824t162207p0000-A,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t162207p0000-A/plume.tif
GAO20230824t162207p0000-B,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t162207p0000-B/plume.tif
GAO20230824t162207p0000-C,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t162207p0000-C/plume.tif
GAO20230824t162207p0000-D,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t162207p0000-D/plume.tif
GAO20230824t162207p0000-E,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t162207p0000-E/plume.tif
GAO20230824t162207p0000-F,Source mask missing: /data2/yuyao/methane_emission/carbon_mapper_data_masks/GAO20230824t162207p0000-F/plume.tif
