wavelength,b1,b2,b3,b4,b5,b6,b7
659.00000123892,0.0,0.0,0.0,0.98083,0.0,0.0,0.0
659.999997888,0.0,0.0,0.0,0.967919,0.0,0.0,0.0
661.0000017847,0.0,0.0,0.0,0.96308,0.0,0.0,0.0
661.99999917912,0.0,0.0,0.0,0.963284,0.0,0.0,0.0
662.99999821653,0.0,0.0,0.0,0.97127,0.0,0.0,0.0
663.9999984064,0.0,0.0,0.0,0.981615,0.0,0.0,0.0
664.999999335,0.0,0.0,0.0,0.987566,0.0,0.0,0.0
666.000000666,0.0,0.0,0.0,0.986323,0.0,0.0,0.0
667.00000214107,0.0,0.0,0.0,0.98053,0.0,0.0,0.0
667.99999911824,0.0,0.0,0.0,0.979855,0.0,0.0,0.0
669.00000040809,0.0,0.0,0.0,0.980614,0.0,0.0,0.0
670.000001541,0.0,0.0,0.0,0.964931,0.0,0.0,0.0
670.99999807423,0.0,0.0,0.0,0.859551,0.0,0.0,0.0
671.99999913984,0.0,0.0,0.0,0.668074,0.0,0.0,0.0
673.0000004711,0.0,0.0,0.0,0.41698,0.0,0.0,0.0
673.99999782972,0.0,0.0,0.0,0.215689,0.0,0.0,0.0
675.000000675,0.0,0.0,0.0,0.105356,0.0,0.0,0.0
676.00000037856,0.0,0.0,0.0,0.052084,0.0,0.0,0.0
677.0000020377701,0.0,0.0,0.0,0.025256,0.0,0.0,0.0
678.0000016949999,0.0,0.0,0.0,0.012931,0.0,0.0,0.0
679.0000000339501,0.0,0.0,0.0,0.0067,0.0,0.0,0.0
679.9999978239999,0.0,0.0,0.0,0.003668,0.0,0.0,0.0
681.00000055842,0.0,0.0,0.0,0.002109,0.0,0.0,0.0
681.9999999181599,0.0,0.0,0.0,0.001253,0.0,0.0,0.0
683.00000155724,0.0,0.0,0.0,0.000985,0.0,0.0,0.0
684.0000019152,0.0,0.0,0.0,0.000702,0.0,0.0,0.0
685.00000215775,0.0,0.0,0.0,0.000548,0.0,0.0,0.0
685.9999988338,0.0,0.0,0.0,0.000403,0.0,0.0,0.0
686.99999796648,0.0,0.0,0.0,0.000341,0.0,0.0,0.0
688.00000099072,0.0,0.0,0.0,0.000279,0.0,0.0,0.0
688.99999993799,0.0,0.0,0.0,0.000269,0.0,0.0,0.0
690.000001104,0.0,0.0,0.0,0.000164,0.0,0.0,0.0
691.0000013819999,0.0,0.0,0.0,0.000133,0.0,0.0,0.0
828.9999983585801,0.0,0.0,0.0,0.0,0.00045,0.0,0.0
829.9999980079999,0.0,0.0,0.0,0.0,0.000476,0.0,0.0
831.00000304977,0.0,0.0,0.0,0.0,0.000592,0.0,0.0
831.99999787008,0.0,0.0,0.0,0.0,0.000715,0.0,0.0
833.0000014410899,0.0,0.0,0.0,0.0,0.000837,0.0,0.0
833.9999981818801,0.0,0.0,0.0,0.0,0.00096,0.0,0.0
835.00000029225,0.0,0.0,0.0,0.0,0.001082,0.0,0.0
835.999999164,0.0,0.0,0.0,0.0,0.001245,0.0,0.0
837.00000015903,0.0,0.0,0.0,0.0,0.001597,0.0,0.0
838.00000170952,0.0,0.0,0.0,0.0,0.002095,0.0,0.0
839.00000227369,0.0,0.0,0.0,0.0,0.002822,0.0,0.0
840.0000003360001,0.0,0.0,0.0,0.0,0.00389,0.0,0.0
841.00000148016,0.0,0.0,0.0,0.0,0.005578,0.0,0.0
841.99999720456,0.0,0.0,0.0,0.0,0.008405,0.0,0.0
